"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"Podivná svatba na Lichnici","Vlastimil Vondruška","3","3.35","177","2012"
"Králův dluh","Vlastimil Vondruška","3","3.4","181","2012"
"Smrt ve Vratislavi","Vlastimil Vondruška","3","3.31","180","2014"
"Román o růži","Vlastimil Vondruška","3","4.05","190","2008"
"Znamení rožmberské růže","Vlastimil Vondruška","3","4.04","201","2004"
"Apage Satanas!","Vlastimil Vondruška","3","3.41","208","2010"
"Dýka s hadem","Vlastimil Vondruška","3","3.66","288","2002"
"Zdislava a ztracená relikvie","Vlastimil Vondruška","3","4.07","235","2003"
"Prokletí brněnských řeholníků","Vlastimil Vondruška","3","4.03","188","2011"
"Zahradní slavnost","Václav Havel","3","3.61","511","1964"
"Innocence; or, Murder on Steep Street","Heda Margolius Kovály","3","3.45","434","1985"
"Prométheova játra","Jiří Kolář","3","3.81","83","1950"
"Kdo pije potmě víno","Jan Skácel","3","4.02","50","1988"
"Hirošima","František Hrubín","3","3.91","46","1964"
"Listy z vyhnanství","Egon Hostovský","3","3.36","14","1946"
"The Devil's Workshop","Jáchym Topol","3","3.53","448","2009"
"Lovely Green Eyes","Arnošt Lustig","3","3.61","955","2000"
"O klíči","Pavel Čech","3","4.56","68","2007"
"Nápady svaté Kláry","Pavel Kohout","3","3.7","79","1980"
"Dita Saxova","Arnošt Lustig","3","3.69","120","1969"
"Šaman","Egon Bondy","3","4.04","92","2006"
"Němá barikáda a jiné povídky","Jan Drda","3","3.51","353","1978"
"Zimohrádek","Ivan Wernisch","3","3.88","66","1965"
"Agogh","Oldřich Mikulášek","3","3.73","51","1989"
"Fakt hustej nářez","František Kotleta","3","3.77","571","2012"
"Vyhlídka na věčnost","Jiří Kulhánek","3","4.29","1139","2011"
"Případ nevěrné Kláry","Michal Viewegh","3","3.31","227","2003"
"Nové nápady laskavého čtenáře","Michal Viewegh","3","2.92","49","2000"
"The Class","Hermann Ungar","3","3.71","110","1927"
"Boříkovy lapálie","Vojtěch Steklač","3","3.96","99","1970"
"Pekelná třída","Vojtěch Steklač","3","3.83","60","1978"
"Ferdův slabikář","Ondřej Sekora","3","3.7","46","1939"
"Mikeš","Josef Lada","3","4.29","141","1962"
"Diaries, 1910-1923","Franz Kafka","3","4.22","3201","1949"
"Miluju tě k zbláznění","Jáchym Topol","3","4.13","131","1991"
"Bajki czeskie","Jan Drda","3","4.03","38","1958"
"Báječná léta s Klausem","Michal Viewegh","3","2.98","131","2002"
"Andělé všedního dne","Michal Viewegh","3","3.63","427","2007"
"Taka piękna żałoba","Bohumil Hrabal","3","4.18","239","1979"
"Muzikantská Liduška","Vítězslav Hálek","3","3.42","74","1861"
"Lucerna","Alois Jirásek","3","3.16","164","1905"
"Amélie a tma","Petra Neomillnerová","3","3.87","132","2012"
"Three Vanek Plays","Václav Havel","3","4.22","85","1989"
"Temptation","Václav Havel","3","3.69","181","1985"
"Radúz a Mahulena","Julius Zeyer","3","3.58","183","1896"
"Její pastorkyňa","Gabriela Preissová","3","3.68","134","1930"
"Kronika Dalimilova. Podle Rukopisu Cambridgeského","Vaclav Emanuel Mourek","3","3.3","23","2010"
"Jeřáby","Jan Zahradníček","3","3.33","27","1933"
"Měsíce","Karel Toman","3","3.03","117","1918"
"Dvakrát sedm pohádek","František Hrubín","3","4.59","51","1965"
"Kohout plaší smrt","František Halas","3","3.44","71","nan"
"Svítání na západě","Otokar Březina","3","3.38","48","1896"
"Podivné přátelství herce Jesenia","Ivan Olbracht","3","3.43","35","1962"
"Pole orná a válečná","Vladislav Vančura","3","3.33","33","1925"
"O zlých samotářích","Ivan Olbracht","3","3.6","15","1951"
"Muži v ofsajdu","Karel Poláček","3","3.64","112","1931"
"Karla","Božena Němcová","3","3.48","132","2010"
"Cikáni","Karel Hynek Mácha","3","3.47","92","1857"
"Vlčí jáma","Jarmila Glazarová","3","3.52","93","1938"
"Moji přátelé","Jakub Deml","3","3.44","82","1913"
"Don Pablo, don Pedro a Věra Lukášová","Božena Benešová","3","3.65","37","1936"
"Kalibův zločin","Karel Václav Rais","3","3.64","197","1947"
"Prosté motivy","Jan Neruda","3","3.2","49","1883"
"Kašpar Lén mstitel","Karel Matěj Čapek-Chod","3","2.97","36","1937"
"Vesnický román","Karolina Světlá","3","3.65","170","1969"
"Nápady laskavého čtenáře","Michal Viewegh","3","3.03","107","1993"
"Radosti života","František Gellner","3","4.07","182","2011"
"Mstivá kantiléna","Karel Hlaváček","3","2.82","65","1898"
"Zpěvy páteční","Jan Neruda","3","3.11","62","1924"
"Darda","Irena Dousková","3","3.5","166","2011"
"Love Letter in Cuneiform","Tomáš Zmeškal","3","3.8","281","2008"
"Kudy šel anděl","Jan Balabán","3","3.99","84","2003"
"Stanice Tajga","Petra Hůlová","3","3.68","160","2008"
"Kloktat dehet","Jáchym Topol","3","3.55","234","2005"
"Modrá rokle","Jaroslav Foglar","3","3.78","204","nan"
"سرادق طائر البطريق","Emil Hakl","3","3.58","405","2002"
"Vládci strachu","Jiří Kulhánek","3","4.23","739","1995"
"Trapné povídky","Karel Čapek","3","3.72","120","1921"
"Nine Fairy Tales and One More Thrown in for Good Measure","Karel Čapek","3","4.13","349","1932"
"Osel a stín","Jiří Voskovec","3","3.89","96","nan"
"Okresní město","Karel Poláček","3","3.54","57","1960"
"Total Fears: Selected Letters to Dubenka","Bohumil Hrabal","3","3.92","379","1990"
"The Miracle Game","Josef Škvorecký","3","4.0","281","1972"
"Franz Kafka's The Castle","David Fishelson","3","4.1","27800","2003"
"Vztahy a pasti","Jan Vojtko","2","4.08","146","nan"
"Zoufalé ženy dělají zoufalé věci","Halina Pawlowská","2","3.05","110","2005"
"Prašina: Bílá komnata","Vojtěch Matocha","2","4.03","266","nan"
"15 roků lásky","Patrik Hartl","2","3.78","575","2021"
"Uranova","Lenka Elbe","2","3.61","186","2020"
"Tenkrát o Vánocích","Petra Soukupová","2","3.65","77","nan"
"Démon ze sídliště","Iva Hadj Moussa","2","3.73","63","nan"
"Prameny Vltavy","Petra Klabouchová","2","4.06","106","nan"
"Prokletý kraj","Michaela Klevisová","2","3.97","311","nan"
"Novinářky","Linda Bartošová","2","4.2","355","nan"
"Stát v rozkladu","Jan Bělíček","2","4.23","65","nan"
"Všechny barvy duhy","Theo Addair","2","4.01","354","2021"
"Amanda","Kristýna Sněgoňová","2","4.0","153","2020"
"Kroky vraha","Michaela Klevisová","2","3.83","409","2007"
"Válka je mým osudem","Lenka Klicperová","2","3.94","33","nan"
"Babišovo Palermo I","Jaroslav Kmenta","2","4.25","122","nan"
"Všehoschopní - Superguru Bárta","Jaroslav Kmenta","2","4.17","70","2011"
"Padrino Krejčíř - Žralok","Jaroslav Kmenta","2","4.03","67","2016"
"Padrino Krejčíř - Afričan","Jaroslav Kmenta","2","4.17","109","2014"
"Padrino Krejčíř - Gangster","Jaroslav Kmenta","2","4.13","118","2015"
"The Twelve Little Cakes","Dominika Dery","2","3.93","717","2004"
"Operace Thümmel","František Kotleta","2","3.94","205","2020"
"Srdce Evropy","Pavla Horáková","2","3.46","112","nan"
"Přípravy na všechno","Elsa Aids","2","3.84","130","nan"
"Ve skříni","Tereza Semotamová","2","3.53","131","2018"
"Beton a hlína: Rozhovory o šetrnosti a udržitelnosti ve městě","Viktorie Hanišová","2","4.22","69","nan"
"Smrtholka","Lucie Faulerová","2","4.13","314","2020"
"Noci běsů","Kateřina Šardická","2","3.96","728","2020"
"Nový věk – Nepovídka","Egon Bondy","2","4.18","17","nan"
"Návrat krále Šumavy","David Jan Žák","2","4.48","128","2012"
"DOBRODRUHŮM","Tereza Ramba","2","4.48","467","2020"
"Za časů Ladislava Pohrobka","Vlastimil Vondruška","2","3.55","176","2017"
"Za časů bezvládí","Vlastimil Vondruška","2","4.04","189","2016"
"Za časů císaře Zikmunda","Vlastimil Vondruška","2","4.53","214","2015"
"Za časů hejtmana Jana Žižky","Vlastimil Vondruška","2","4.47","246","2015"
"Král básník: Václav II.","Vlastimil Vondruška","2","4.15","209","2013"
"Král rytíř: Přemysl Otakar II.","Vlastimil Vondruška","2","4.49","242","2013"
"Za časů Jiřího z Poděbrad","Vlastimil Vondruška","2","3.61","162","2017"
"Modré stíny","Michal Sýkora","2","3.48","75","2013"
"Satanova sláva mezi námi","Stanislav Kostka Neumann","2","2.96","23","nan"
"Mezipřistání","Matěj Hořava","2","4.25","216","nan"
"Pandemie","Michal Kubal","2","4.44","107","nan"
"Krev pro Rusalku","Kristýna Sněgoňová","2","3.97","192","2018"
"Dobrodruzi hlavního proudu","Jiří Hájíček","2","3.92","40","2002"
"Rozpojené státy - Amerika nejen televizní kamerou","Martin Řezníček","2","4.15","357","nan"
"Tamařino souhvězdí","Anna Musilová","2","4.11","426","nan"
"Bezdětná","Monika Baudišová","2","4.55","141","2020"
"The Lost Writings","Franz Kafka","2","4.08","216","2020"
"تاریک ترین زندان","Ivan Olbracht","2","3.69","152","1954"
"Dobročinný večírek","Egon Hostovský","2","4.0","30","1990"
"Nulorožec","Petr Stančík","2","3.53","302","2018"
"...a bude hůř: román o třech dílech","Jan Pelc","2","3.87","286","1985"
"Babičky","Petr Šabach","2","3.77","233","1998"
"The Bathory Legend","Jožo Nižnánsky","2","3.71","619","1932"
"Underground","František Kotleta","2","3.7","311","2020"
"Maryčka Magdonova","Petr Bezruč","2","3.86","21","nan"
"Letopisy královské komory I","Vlastimil Vondruška","2","4.57","187","2006"
"Odposlechnuto v Praze","Zuzana Cinařová","2","4.3","70","nan"
"Zlodějka mýho táty","Petra Hůlová","2","3.31","104","nan"
"Koláčky a spiklenci","Theo Addair","2","4.27","1027","2019"
"Projekt Kronos","Pavel Bareš","2","4.35","670","2017"
"Prak","Michal Vrba","2","3.8","93","2016"
"Vlaštovka v bublině","Markéta Lukášková","2","3.78","315","2020"
"Čas mrtvých","Jiří Kulhánek","2","4.18","726","1999"
"Mona","Bianca Bellová","2","3.65","349","2019"
"Střípky hvězd","Tereza Janišová","2","4.13","69","2014"
"Kouzla na obzoru","Tereza Janišová","2","3.93","96","2012"
"Město čarodějů","Tereza Janišová","2","3.91","153","2010"
"Helga's Diary: A Young Girl's Account of Life in a Concentration Camp","Helga Weiss","2","3.98","2244","2012"
"Jan Maria Plojhar","Julius Zeyer","2","3.77","35","1891"
"Továrna na sny","Aneta Badžgoňová","2","4.18","331","2016"
"Útěk do Budína","Vladislav Vančura","2","3.88","26","1932"
"While the Music Played","Nathaniel Lande","2","4.21","184","2020"
"A Delayed Life: The True Story of the Librarian of Auschwitz","Dita Kraus","2","3.95","1294","2020"
"Jak na sítě","Michelle Losekoot","2","4.27","430","2019"
"By Night Under the Stone Bridge","Leo Perutz","2","4.06","1044","1953"
"Odvrácená strana matky","Monika Valentová","2","3.4","57","nan"
"Hranice a zdi","Jan Těsnohlídek","2","4.09","46","nan"
"Hlavně zachraň sebe","Jan Těsnohlídek","2","4.35","55","nan"
"Ještě je co ztratit","Jan Těsnohlídek","2","3.98","64","2013"
"O čem ženy mlčí","Kateřina Tučková","2","2.77","26","2013"
"Trny v čase","Jan Tomeš","2","3.73","132","2019"
"Dům na samotě","Michaela Klevisová","2","4.0","177","2011"
"Panorama","Hans Günther Adler","2","3.27","90","1948"
"Siostra śmierć","Daniel Petr","2","2.97","37","2018"
"When Time Stopped: A Memoir of My Father's War and What Remains","Ariana Neumann","2","4.35","6029","2020"
"Svatá hlava","Hana Lehečková","2","3.85","144","2019"
"Zrádci","Jiří Šulc","2","4.31","58","2012"
"Český snář","Ludvík Vaculík","2","3.71","130","1981"
"Povídky","Jan Balabán","2","4.37","65","2010"
"Jací jsme dnes: Česko od roku 1989 očima investigativního novináře","Jaroslav Spurný","2","4.29","51","2018"
"A znovu láska","Jan Skácel","2","4.43","53","1991"
"Tweety 1956-1963","Věra Jirousová","2","4.06","53","nan"
"Conversations with Kafka","Gustav Janouch","2","4.07","847","1951"
"The Judgement and In the Penal Colony","Franz Kafka","2","4.01","1268","1912"
"Bílá zvířata jsou velmi často hluchá","Ivana Myšková","2","3.66","212","2017"
"Hodina mezi psem a vlkem","Jan Skácel","2","4.34","86","1962"
"Frantina","Karolina Světlá","2","3.6","47","1974"
"Hry bez hranic","Michal Kašpárek","2","3.75","306","nan"
"Zneuznané dědictví Cervantesovo","Milan Kundera","2","4.3","64","2005"
"Udělej mi tichoučko!","Ivan Kraus","2","4.38","26","2008"
"To na tobě doschne","Ivan Kraus","2","4.39","103","1991"
"Prosím tě, neblázni","Ivan Kraus","2","4.28","40","1978"
"Rodinný sjezd","Ivan Kraus","2","4.15","54","1996"
"Nebožtíci na bále","Ladislav Fuks","2","3.59","32","1989"
"Variace pro temnou strunu","Ladislav Fuks","2","3.86","50","1970"
"Příliš dlouhá swingers party","František Kotleta","2","3.74","478","2014"
"Jiný T.G.M.","Pavel Kosatík","2","4.56","194","2018"
"Hledání dějin. O české státnosti a identitě","Karel Hvížďala","2","4.5","16","nan"
"Nestoři české advokacie","Petr Toman","2","4.5","2","nan"
"Rekviem za Pluto","Adam Chromý","2","3.35","121","nan"
"Ada","Jan Těsnohlídek","2","3.97","73","2012"
"إدوار والله","Milan Kundera","2","3.7","946","nan"
"Voda, která hoří","Jitka Vodňanská","2","3.66","76","2018"
"Stracholam","Jan Skácel","2","4.31","16","1993"
"Mafie v Praze","Michal Viewegh","2","3.45","243","2011"
"Putování mořského koně","Petr Šabach","2","3.54","105","1993"
"Przedawnienie","Jiří Březina","2","3.57","130","2015"
"Mężczyzna na dnie","Iva Procházková","2","3.69","142","2014"
"Obrázky z českých dějin a pověstí","Jiří Černý","2","4.31","55","2000"
"Johana","Pavla Horáková","2","3.27","228","2018"
"Jumaroro","Sylva Lauerová","2","3.87","31","2011"
"Případ profesora Körnera","Egon Hostovský","2","3.62","13","1931"
"Dvě zrcadla","Karolina Limrová","2","3.21","155","2011"
"The Sorrowful Eyes of Hannah Karajich","Ivan Olbracht","2","4.15","60","1937"
"Brusinky","Barbara Nesvadbová","2","3.52","42","2009"
"Ostny a oprátky","Jiří Padevět","2","3.68","101","2018"
"Žlutý baron","Jakub Patočka","2","3.78","73","2017"
"Svatá Barbora","Vojtěch Mašek","2","4.29","405","2016"
"Média, lži a příliš rychlý mozek","Petr Nutil","2","3.69","59","nan"
"Havel","Michael Žantovský","2","4.36","578","2014"
"Najděte si svého marťana!","Marek Herman","2","3.91","531","2008"
"The Burrow","Franz Kafka","2","3.82","1157","1924"
"The Great Wall of China and other Stories","Franz Kafka","2","3.67","1245","1931"
"Vévodkyně a kuchařka","Ladislav Fuks","2","4.18","39","nan"
"Judge on Trial","Ivan Klíma","2","3.99","211","1986"
"Kopretiny pro zámeckou paní","Stanislav Rudolf","2","3.59","102","1998"
"Night and Hope","Arnošt Lustig","2","3.92","65","1958"
"Dělám si to sám","Martin Váša","2","3.54","219","nan"
"Besídka bývalých žáků zvláštní školy: kniha povídek","Miloslav Šimek","2","4.52","42","1990"
"Metličky","Jan Skácel","2","4.26","47","1968"
"Povídky o ženách","Michal Viewegh","2","3.23","13","2007"
"O bílých slonech","Irena Dousková","2","3.47","70","2008"
"Dobře mi tak","Radka Třeštíková","2","2.94","343","2014"
"Saturnin se vrací","Miroslav Macek","2","3.02","384","2017"
"Fabrika: Příběh textilních baronů z moravského Manchesteru","Kateřina Tučková","2","3.85","208","2014"
"Past na medvěda","Petra Neomillnerová","2","3.33","208","2008"
"Doušek věčnosti","Petra Neomillnerová","2","3.51","225","2008"
"Nebeští jezdci","Richard Husmann","2","4.52","90","1964"
"Tiché šlapací království","Zdeněk Svěrák","2","4.11","61","2017"
"Místo, na němž stojíš, je posvátná země","Marek Vácha","2","4.38","45","2008"
"Boj o první místo","Jaroslav Foglar","2","3.86","154","1969"
"Přístav volá","Jaroslav Foglar","2","3.77","137","1991"
"Devadesátka pokračuje","Jaroslav Foglar","2","4.05","155","1969"
"Tajemná Řásnovka","Jaroslav Foglar","2","3.97","148","1965"
"Pod junáckou vlajkou","Jaroslav Foglar","2","3.93","246","1940"
"Půlnoční pacient","Egon Hostovský","2","3.48","27","1954"
"Jak vzniká divadelní hra a průvodce po zákulisí","Bratri Capkove","2","4.0","13","nan"
"Deníček moderního fotra 2","Dominik Landsman","2","3.67","168","nan"
"Máj - Márinka","Karel Hynek Mácha","2","3.25","122","1944"
"Prague Winter: A Personal Story of Remembrance and War, 1937-1948","Madeleine K. Albright","2","4.02","7123","2012"
"The Trick","Emanuel Bergmann","2","3.89","1592","2016"
"Lizucha","Lenka Juráčková","2","3.77","30","2015"
"Andělí vejce","Petr Stančík","2","3.9","124","2016"
"Miss Silver's Past","Josef Škvorecký","2","3.85","239","1969"
"Jáchymovští démoni","Vlastimil Vondruška","2","3.21","148","2016"
"Hlasy a hvězdy","Vilma Kadlečková","2","4.1","312","2016"
"Divoši","Lucie Lomová","2","4.18","79","2011"
"Michaela - Události v klášteře svatého Anděla","Miloš Urban","2","2.67","98","2004"
"Santiniho jazyk","Miloš Urban","2","3.36","233","2005"
"Prague with Fingers of Rain","Vítězslav Nezval","2","3.98","49","1936"
"The Poetry of Jaroslav Seifert","Jaroslav Seifert","2","4.04","206","1984"
"Poems Before & After","Miroslav Holub","2","4.36","72","1990"
"Letopisy královské komory V","Vlastimil Vondruška","2","3.38","143","2010"
"Vladimíra Čerepková - Beatnická femme fatale","Alice Horáčková","2","4.52","56","2014"
"Zánik samoty Berhof","Vladimír Körner","2","3.63","41","2005"
"A to si pak můžeš řikat, co chceš","Helena Skalická","2","4.17","6","2013"
"Sépie","František Halas","2","3.57","35","nan"
"Stín katedrály - božská krimikomedie","Miloš Urban","2","3.31","327","2003"
"Můj život po životě","Michal Viewegh","2","3.4","180","2013"
"Perunova krev 1","František Kotleta","2","3.81","333","2013"
"Ve službách klanu","Miroslav Žamboch","2","3.86","192","2013"
"The Diary of Petr Ginz","Petr Ginz","2","3.84","393","2005"
"Fires in the Dark","Louise Doughty","2","4.04","746","2004"
"Příběhy","Vladimír Holan","2","3.76","25","1963"
"Co jsou Češi?","Jan Patočka","2","4.0","9","1992"
"Mrtvý posel","Vlastimil Vondruška","2","3.3","137","2016"
"Hejno bez ptáků","Filip Dousek","2","3.75","217","2012"
"O Podhalu, Galicji i... Piłsudskim. Szkice nieznane","Jaroslav Hašek","2","3.25","16","2013"
"Vratné lahve","Zdeněk Svěrák","2","3.8","55","2007"
"Obchod na korze","Ladislav Grosman","2","3.94","132","1965"
"Mí černovlasí bratři","Ladislav Fuks","2","4.0","60","1964"
"Odnes si mě domů","Matouš Rýdel","2","1.75","4","nan"
"Koets naar Wenen","Jan Procházka","2","3.81","130","1967"
"Lijavec","Jára Cimrman","2","4.22","64","2002"
"Švestka","Jára Cimrman","2","4.48","69","1998"
"Afrika","Jára Cimrman","2","4.3","70","2003"
"Záskok : Cimrmanova hra o nešťastné premiéře hry Vlasta","Jára Cimrman","2","4.55","188","1994"
"Vyšetřování ztráty třídní knihy : Činohra","Jára Cimrman","2","4.33","284","1992"
"Vražda v salonním coupé : Detektivní hra","Jára Cimrman","2","4.43","148","1994"
"Posel z Liptákova","Jára Cimrman","2","4.34","130","1992"
"Němý Bobeš aneb Český Tarzan","Jára Cimrman","2","4.12","107","1993"
"Hospoda Na mýtince : Opereta","Jára Cimrman","2","4.51","159","1994"
"Dlouhý, Široký a Krátkozraký : Pohádka, která u dětí propadla","Jára Cimrman","2","4.6","196","1994"
"Blaník : Jevištní podoba historického mýtu","Jára Cimrman","2","4.59","128","1994"
"Akt: Rodinné drama se zpěvy a tanci","Jára Cimrman","2","4.27","127","1992"
"Opráski sčeskí historje 3. Kompendijum čezkíhc ďějin pro žkolu, pisárnu i dúm","Jaz","2","4.29","97","2014"
"Opráski sčeskí historje 2. Rukovjeť čezkí historje pro inteleguáňi","Jaz","2","4.35","120","2014"
"Krvavý román","Josef Váchal","2","3.95","130","1924"
"Paměti poslance parlamentu: Sexyromán","Miloš Urban","2","2.69","42","2002"
"Žofka","Miloš Macourek","2","4.53","15","2000"
"Mach a Šebestová na prázdninách","Miloš Macourek","2","4.16","19","1992"
"Pohádky z pařezové chaloupky Křemílka a Vochomůrky","Václav Čtvrtek","2","4.42","59","1981"
"Dům na předměstí","Karel Poláček","2","3.62","26","1958"
"Zadáno pro Blížence","Lenka Lanczová","2","4.04","111","1995"
"Panna nebo Blíženec","Lenka Lanczová","2","3.99","109","1995"
"Znamení blíženců","Lenka Lanczová","2","3.96","119","1994"
"Jako Cool v plotě","Karel Plíhal","2","4.35","79","2006"
"Po strništi bos","Zdeněk Svěrák","2","4.17","321","2013"
"Avion","Jiří Kratochvil","2","3.97","36","1995"
"Neuvěřitelné příhody žáků Kopyta a Mňouka","Miloslav Švandrlík","2","4.16","77","1991"
"Medová léta","Ivan Kraus","2","3.76","33","2001"
"Muž za vlastním rohem","Ivan Kraus","2","3.65","17","nan"
"Úsměvy smutných mužů","Josef Formánek","2","3.79","273","2014"
"Malá noční žranice","Jiří Šimáček","2","3.53","43","2014"
"A já pořád kdo to tluče","Radka Denemarková","2","4.0","74","2005"
"Mluviti pravdu","Josef Formánek","2","4.13","237","2008"
"Vlci","František Kotleta","2","3.59","261","2015"
"Letopisy královské komory III","Vlastimil Vondruška","2","4.61","148","2008"
"Kuře Napipi a jeho přátelé","Ondřej Sekora","2","3.72","29","1973"
"Zvlčení","Antonín Bajaja","2","3.96","57","2003"
"Lazebník. Hra doopravdy","Richard   Weiner","2","3.85","13","1998"
"Čáp nejni kondor","Radůza","2","4.19","31","2011"
"Wady snu","Radka Denemarková","2","4.07","76","2012"
"Vanishing Lung Syndrome","Miroslav Holub","2","4.31","78","1990"
"A po celou zimu byl klid: Analýza času jako narativní kategorie ve staroseverských ságách","Kristýna Králová","2","4.0","3","nan"
"روح پراگ","Ivan Klíma","2","3.83","2035","1974"
"Přišla z moře","Miloš Urban","2","2.9","99","2014"
"Lord Mord","Miloš Urban","2","3.61","352","2008"
"Selected Poems","Miroslav Holub","2","4.28","53","1967"
"Pravidla směšného chování","Emil Hakl","2","3.64","154","2010"
"Totální realismus","Egon Bondy","2","3.79","28","nan"
"Kde je zakopán pes: memoáromán","Pavel Kohout","2","4.12","64","1987"
"Zločin na Bezdězu","Vlastimil Vondruška","2","3.25","173","2015"
"Ďáblův sluha","Vlastimil Vondruška","2","3.34","167","2014"
"Jménem krále","Vlastimil Vondruška","2","3.95","152","2009"
"Oldřich z Chlumu - román a skutečnost","Vlastimil Vondruška","2","4.09","23","2015"
"Krev na kapradí","Vlastimil Vondruška","2","4.07","27","2013"
"Znamení Jidáš","Vlastimil Vondruška","2","4.03","175","2009"
"Strážce boleslavského mysteria","Vlastimil Vondruška","2","3.93","188","2007"
"Olomoucký bestiář","Vlastimil Vondruška","2","4.04","207","2006"
"Ulička hanby","Vlastimil Vondruška","2","3.92","147","2013"
"Pečeť smrti","Vlastimil Vondruška","2","3.44","177","2009"
"Adventní kletba","Vlastimil Vondruška","2","4.0","227","2004"
"Záhada zlaté štoly","Vlastimil Vondruška","2","3.99","212","2003"
"Vražda v ambitu","Vlastimil Vondruška","2","4.05","204","2005"
"Tajemství abatyše z Assisi","Vlastimil Vondruška","2","3.35","194","2010"
"Hanuman","Svatopluk Čech","2","3.48","25","1957"
"Legenda o svaté Kateřině","Kamil Bednář","2","3.12","52","1350"
"Párkař","Josef Hiršal","2","4.41","17","1997"
"Pejskování s Polynou","Hana Doskočilová","2","3.0","10","nan"
"Soukromá vichřice","Vladimír Páral","2","3.34","77","1966"
"Cesta do hlubin kantorovy duše","Miloš Hoznauer","2","4.67","3","2004"
"Šíleně smutné povídky","Tereza Boučková","2","3.38","109","2013"
"Knížka Ferdy Mravence","Ondřej Sekora","2","4.18","111","1962"
"Bolest","Vladimír Holan","2","3.83","48","1966"
"Gabra a Málinka 3. a 4. díl","Amálie Kutinová","2","4.29","73","1970"
"Biblické příběhy","Ivan Olbracht","2","2.9","140","2007"
"Co mi liška vyprávěla","Jiří Mahen","2","3.75","8","1974"
"The Golem - Old Jewish Stories from Prague","Eduard Petiška","2","3.88","48","1968"
"Noc s Hamletem","Vladimír Holan","2","3.93","107","nan"
"The Three Golden Keys","Peter Sís","2","4.15","476","1994"
"Hadrián z Římsů","Václav Kliment Klicpera","2","3.2","45","1924"
"Český orloj","Karel Šiktanc","2","3.47","47","1990"
"Tento večer","Ivan Blatný","2","3.48","48","1991"
"Jak zvířata spí","Jiří Dvořák","2","4.59","54","2014"
"Já se tam vrátím...","František Halas","2","3.54","24","2001"
"Sbohem malé nic","Dan Jedlička","2","3.0","12","2014"
"2. Dobrodružství pavouka Čendy","Pavel Čech","2","4.07","30","2014"
"Dobrodružství pavouka Čendy","Pavel Čech","2","4.65","54","2011"
"Praga piccola","Miloš Urban","2","3.87","120","2012"
"The Bass Saxophone","Josef Škvorecký","2","3.82","348","1967"
"Koho vypijou lišky","Lidmila Kábrtová","2","4.1","189","2013"
"Konec nylonového věku","Josef Škvorecký","2","3.51","85","1998"
"Navzdory básník zpívá","Jarmila Loukotková","2","4.36","377","1957"
"Jedenáctý bílý kůň","Jan Skácel","2","4.31","51","1964"
"Nemetonburk aneb Alatýrová hora","Renata Štulcová","2","3.85","33","2007"
"Macocha","Petra Hůlová","2","3.39","196","2014"
"Dvojí domov","Jan Čep","2","4.28","25","1991"
"Poslední tečka za rukopisy","Miloš Urban","2","3.73","93","1998"
"Černé světlo","Václav Řezáč","2","3.98","62","nan"
"Nemetonburk aneb Zlatá brána","Renata Štulcová","2","3.76","41","2005"
"Zlaté Hory","Jaroslav Rudiš","2","3.81","62","2005"
"Hlavní nádraží","Jaroslav Rudiš","2","3.94","71","2004"
"Unchiul meu Ulise","Jiří Marek","2","3.66","29","1974"
"Městečko, kde se zastavil čas; Něžný barbar; Příliš hlučná samota","Bohumil Hrabal","2","4.13","61","1992"
"Slovácko sa súdí","Zdeněk Galuška","2","4.39","36","nan"
"Metráček","Stanislav Rudolf","2","3.7","111","2010"
"Edudant a Francimor","Karel Poláček","2","3.83","65","1988"
"Říkání o víle Amálce","Václav Čtvrtek","2","4.1","39","2011"
"Dvě legendy z doby Karlovy. Legenda o svatém Prokopu, Život svaté Kateřiny.","Josef Hrabák","2","3.05","19","1959"
"Rozprava krátká, ale pravdivá","Bohuslav Balbín","2","3.5","14","1775"
"Robinsonka","Marie Majerová","2","3.45","112","1959"
"Pražské Pověsti","Václav Cibula","2","4.21","33","1972"
"Česká středověká lyrika","Jan Lehár","2","3.0","5","1990"
"Dny v roce: Básně 1946-1947","Jiří Kolář","2","3.05","21","1948"
"Morový sloup / The Plague Monument","Jaroslav Seifert","2","3.75","116","1977"
"Divotvorný klobouk","Václav Kliment Klicpera","2","3.51","53","2009"
"Elegie","Jiří Orten","2","4.05","129","1969"
"Slezský román","Petr Čichoň","2","3.04","23","2011"
"The Night Club: Part One","Jiří Kulhánek","2","4.51","1741","2002"
"Mega hustej nářez","František Kotleta","2","3.91","518","2013"
"Drsný spasitel","Miroslav Žamboch","2","4.07","555","2007"
"Asfalt","Štěpán Kopřiva","2","4.23","564","2009"
"Boletus arcanus","Miloš Urban","2","3.58","97","2011"
"Alois Nebel","Jaroslav Rudiš","2","3.7","396","2006"
"Potichu","Jaroslav Rudiš","2","3.83","476","2007"
"Zázemí","Jana Šrámková","2","4.06","192","2013"
"Sedmiramenný svícen","Josef Škvorecký","2","4.11","81","1964"
"Krátké pohádky pro unavené rodiče","Michal Viewegh","2","3.48","124","nan"
"Povídky o lásce","Michal Viewegh","2","3.19","115","2009"
"Zapisovatelé otcovský lásky","Michal Viewegh","2","3.42","167","1998"
"Povídky o manželství a o sexu","Michal Viewegh","2","3.23","232","1999"
"Literární dobrodružství českého spisovatele v cizině","Egon Hostovský","2","4.17","6","1995"
